B,k,seq_err,base_err
1,1,0.8306,0.29872
1,2,0.8334,0.30064
1,5,0.5707,0.15522
1,10,0.512,0.133
1,20,0.2975,0.06786
1,50,0.2658,0.0599
1,100,0.2245,0.05002
2,1,0.8356,0.30114
2,2,0.8345,0.30076
2,5,0.5656,0.1542
2,10,0.2825,0.06432
2,20,0.1789,0.03882
2,50,0.1353,0.02888
2,100,0.1274,0.02686
4,1,0.8341,0.29992
4,2,0.8323,0.30078
4,5,0.4596,0.1157
4,10,0.2458,0.05486
4,20,0.166,0.0355
4,50,0.125,0.02634
4,100,0.1299,0.02738
8,1,0.8286,0.2988
8,2,0.8292,0.29714
8,5,0.4553,0.11432
8,10,0.2452,0.0551
8,20,0.162,0.03476
8,50,0.1297,0.02742
8,100,0.1235,0.02592
